Year,Country,GDP_Grwth,Curr_Hlth_Exp,Ext_Hlth_Exp,Life_Exp_At_Brth
2001,IND,4.823966264,4.26278067,0.46109629,62.907
2001,AUS,1.930857592,7.69622898,0,79.63414634
2001,CAN,1.405527589,8.65530014,0,79.33902439
2001,SAU,-1.210743868,4.46173573,0,72.759
2001,USA,0.9983408,13.2191925,0,76.83658537
2001,TUR,-5.750006557,4.88784933,0,70.56
2001,RUS,5.100051225,5.23752975,0.23509146,65.38341463
2001,ZAF,2.699994567,7.45108652,3.01454949,55.089
2001,ARG,-4.408839683,8.62096786,1.35509443,73.755
2001,BRA,1.389896403,8.5499382,0.76619065,70.462
2001,MEX,-0.404390127,4.8203578,0,74.658
2001,DEU,1.681468481,9.92046165,0,78.32926829
2001,FRA,1.983721419,9.70562744,0,79.15853659
2001,ITA,1.951371556,7.73760843,0,80.12682927
2001,GBR,2.974363653,7.6549964,0.16361642,77.99268293
2001,JPN,0.406335903,7.35919762,0,81.41707317
2001,CHN,8.335733478,4.22035074,0.09664631,71.732
2001,IDN,3.643466447,2.17417526,0.695153,66.037
2001,KOR,4.852399572,4.4276228,0,76.41219512
2002,IND,3.803975321,4.24016762,0.49635461,63.304
2002,AUS,4.001404062,7.89332151,0,79.93658537
2002,CAN,3.422146171,8.88823891,0,79.4902439
2002,SAU,-2.819174403,4.2493763,0,72.92
2002,USA,1.741695243,14.00746441,0,76.93658537
2002,TUR,6.447722052,5.06227875,0,71.078
2002,RUS,4.699991909,5.51606607,0.26360333,65.12878049
2002,ZAF,3.700382352,6.88287115,2.59167719,54.31
2002,ARG,-10.89448483,7.64670229,4.40387106,73.932
2002,BRA,3.053461858,8.70437145,0.77969408,70.813
2002,MEX,-0.039844481,5.0716424,0,74.922
2002,DEU,-0.197973835,10.18361187,0,78.22926829
2002,FRA,1.135531482,10.02218628,0,79.26097561
2002,ITA,0.253942999,7.86693525,0,80.22926829
2002,GBR,2.324351122,8.02424622,0.18805926,78.14390244
2002,JPN,0.117992777,7.47336435,0,81.56341463
2002,CHN,9.13363079,4.34825134,0.07149412,72.061
2002,IDN,4.499475391,2.03304791,0.26561132,66.321
2002,KOR,7.725142675,4.16491032,0,76.76585366
2003,IND,7.860381476,4.00848055,0.33412266,63.699
2003,AUS,2.985934322,7.90449524,0,80.23902439
2003,CAN,3.811090153,9.04279232,0,79.74146341
2003,SAU,11.24206139,3.97909737,0,73.051
2003,USA,2.861210772,14.52157784,0,77.03658537
2003,TUR,5.763206069,5.01427698,0,71.559
2003,RUS,7.299952345,5.15845108,0.24783722,65.04780488
2003,ZAF,2.949079137,6.91403675,3.91808343,53.749
2003,ARG,8.837040796,7.11225414,0.90086126,74.107
2003,BRA,1.140828998,8.19710159,0.49510953,71.17
2003,MEX,1.446382684,5.81486464,0,75.118
2003,DEU,-0.700116686,10.40197659,0,78.3804878
2003,FRA,0.823160757,10.08283329,0,79.11463415
2003,ITA,0.138626891,7.83297729,0,79.98292683
2003,GBR,3.28637759,8.21229839,0.23407233,78.44634146
2003,JPN,1.528220148,7.61100292,0,81.76
2003,CHN,10.03803048,4.38032389,0.07104705,72.381
2003,IDN,4.780369122,2.30133748,0.32606253,66.631
2003,KOR,3.147291194,4.4238739,0,77.21463415
2004,IND,7.922936613,3.95739198,0.56003076,64.095
2004,AUS,4.055451968,8.10948753,0,80.4902439
2004,CAN,3.914028782,9.09723568,0,79.89268293
2004,SAU,7.958441666,3.58400607,0,73.159
2004,USA,3.798891123,14.60988235,0,77.48780488
2004,TUR,9.795936382,4.90964413,0,72.004
2004,RUS,7.19994787,4.755548,0.2649647,65.47097561
2004,ZAF,4.554552745,6.81141186,4.78211641,53.444
2004,ARG,9.029573301,7.22868299,19.60271835,74.28
2004,BRA,5.759964639,8.13533783,1.56827962,71.531
2004,MEX,3.92059081,5.9539032,0,75.243
2004,DEU,1.175088132,10.14598751,0,78.6804878
2004,FRA,2.829752929,10.16429329,0,80.16341463
2004,ITA,1.423594158,8.16549301,0,80.7804878
2004,GBR,2.373951428,8.48447704,0.26185873,78.74634146
2004,JPN,2.204687882,7.65719414,0,82.0302439
2004,CHN,10.11362138,4.25689554,0.07809364,72.689
2004,IDN,5.030873945,2.17213154,0.51088566,66.969
2004,KOR,5.197391363,4.38896513,0,77.66585366
2005,IND,7.923430621,3.79116249,0.42380518,64.5
2005,AUS,3.204269793,7.99008226,0,80.84146341
2005,CAN,4.995860869,9.06438637,0,80.19268293
2005,SAU,5.573850122,3.41867018,0,73.256
2005,USA,3.513213796,14.60567665,0,77.48780488
2005,TUR,8.992304944,4.89389706,0,72.424
2005,RUS,6.399965448,4.76693487,0.27069065,65.5297561
2005,ZAF,5.277056312,6.70575714,4.99454546,53.447
2005,ARG,8.85165992,7.61078882,4.6446228,74.451
2005,BRA,3.20213138,8.04407787,0.25959525,71.896
2005,MEX,2.307807066,5.83612156,0,75.3
2005,DEU,0.731707164,10.31149673,0,78.93170732
2005,FRA,1.66321998,10.2148447,0,80.16341463
2005,ITA,0.817848974,8.33931828,0,80.78292683
2005,GBR,3.179728893,8.53398705,0.28247729,79.04878049
2005,JPN,1.662670405,7.78066874,0,81.92512195
2005,CHN,11.39459181,4.14221525,0.15098837,72.985
2005,IDN,5.692571304,2.58409047,0.5655365,67.334
2005,KOR,4.308542714,4.61782169,0,78.16829268
2006,IND,8.060732573,3.63477802,0.42425418,64.918
2006,AUS,2.794537024,7.98943853,0,81.04146341
2006,CAN,4.165817627,9.34515572,0,80.34390244
2006,SAU,2.788402224,3.6192224,0,73.355
2006,USA,2.854972298,14.70215797,0,77.68780488
2006,TUR,6.947988086,5.14591694,0,72.83
2006,RUS,8.200068255,4.76170969,0.28210351,66.72756098
2006,ZAF,5.603797657,6.58706188,5.71326399,53.795
2006,ARG,8.0471515,7.64032841,1.48688948,74.62
2006,BRA,3.961988722,8.25891399,0.51535082,72.26
2006,MEX,4.495077894,5.65525532,0,75.296
2006,DEU,3.816441913,10.17961693,0,79.13170732
2006,FRA,2.449323601,10.39308834,0,80.81219512
2006,ITA,1.790639681,8.43673038,0,81.28292683
2006,GBR,2.788324566,8.69737816,0.31351596,79.24878049
2006,JPN,1.420006556,7.80784273,0,82.32195122
2006,CHN,12.72095567,3.91870999,0.11772338,73.271
2006,IDN,5.500951785,2.67202187,0.61580646,67.717
2006,KOR,5.264326595,4.94396782,0,78.66829268
2007,IND,7.660815065,3.51754212,0.54245311,65.35
2007,AUS,3.844230316,8.06755352,0,81.29268293
2007,CAN,6.868608857,9.43898201,0,80.54390244
2007,SAU,1.847130255,3.56229401,0,73.467
2007,USA,1.876171455,14.91858959,0,77.98780488
2007,TUR,5.043507925,5.23760796,0,73.235
2007,RUS,8.499977768,4.74311066,0.30014637,67.58682927
2007,ZAF,5.360475891,6.4313159,6.97824764,54.452
2007,ARG,9.007650875,7.83455086,1.31238163,74.787
2007,BRA,6.069870608,8.20776176,0.49244082,72.618
2007,MEX,2.291445714,5.76644516,0,75.255
2007,DEU,2.976455131,10.05104923,0,79.53414634
2007,FRA,2.424736243,10.33102131,0,81.11219512
2007,ITA,1.48707298,8.13610077,0,81.43414634
2007,GBR,2.430553201,8.87322426,0.34237209,79.44878049
2007,JPN,1.654183881,7.89046049,0,82.50707317
2007,CHN,14.23086093,3.65868473,0.17543358,73.553
2007,IDN,6.345022227,2.87617064,0.9460727,68.105
2007,KOR,5.799548415,5.11490726,0,79.1195122
2008,IND,3.08669806,3.51468062,0.70863593,65.794
2008,AUS,3.657953526,8.25585651,0,81.39512195
2008,CAN,1.007622695,9.59853268,0,80.69512195
2008,SAU,6.249772752,2.97100711,0,73.598
2008,USA,-0.136579804,15.28626251,0,78.03902439
2008,TUR,0.815024571,5.21761799,0,73.649
2008,RUS,5.199969265,4.89866781,0.30897599,67.94926829
2008,ZAF,3.191046741,6.54576063,8.99932003,55.36
2008,ARG,4.057233103,8.1826973,6.91030741,74.952
2008,BRA,5.094195447,8.01598835,0.378782,72.966
2008,MEX,1.143584587,5.69886971,0,75.194
2008,DEU,0.959879134,10.2510128,0,79.73658537
2008,FRA,0.25494596,10.51212215,0,81.21463415
2008,ITA,-0.962012841,8.53282356,0,81.48536585
2008,GBR,-0.281153556,9.16623402,0.33707696,79.6
2008,JPN,-1.0935406,8.19951439,0,82.58756098
2008,CHN,9.650678919,3.87722778,0.20530021,73.835
2008,IDN,6.0137036,2.61300087,0.70753467,68.485
2008,KOR,3.012984873,5.39896727,0,79.51707317
2009,IND,7.861888833,3.48537874,0.39011872,66.244
2009,AUS,1.93699392,8.56316471,0,81.54390244
2009,CAN,-2.928400167,10.70911217,0,80.99512195
2009,SAU,-2.059249189,4.29042768,0,73.75
2009,USA,-2.53675707,16.28372383,0,78.3902439
2009,TUR,-4.823153949,5.49438715,0,74.074
2009,RUS,-7.799993913,5.63820267,0,68.68463415
2009,ZAF,-1.538089334,7.11458683,11.75896168,56.46
2009,ARG,-5.918525076,9.45599556,2.26170921,75.116
2009,BRA,-0.125811999,8.40254688,1.07604921,73.3
2009,MEX,-5.285744137,6.12978458,0,75.128
2009,DEU,-5.693836336,11.23758507,0,79.83658537
2009,FRA,-2.873313828,11.29670525,0,81.41463415
